nohaelprince@gmail.com,2015-05-01
xyz@gmail.com,2015-05-01
def@gmail.com,2015-05-03
abc@hotmail.com,2015-05-01
coco@gmail.com,2015-05-01
snow@anonymous.com,2015-05-01
snow@anonymous.com,2015-05-03
snow@anonymous.com,2015-05-03
snow@anonymous.com,2015-05-01
coco@wawa.com,2015-05-01
nono@wawa.com,2015-05-01
abc@hotmail.com,2015-04-30
abc@hotmail.com,2015-04-30
abc@hotmail.com,2015-04-30
abc@hotmail.com,2015-04-30
nohaelprince@gmail.com,2015-04-30
xyz@gmail.com,2015-04-30
def@gmail.com,2015-04-30
nohaelprince@gmail.com,2015-04-30
xyz@gmail.com,2015-04-30
def@gmail.com,2015-04-30
nohaelprince@uwaterloo.ca,2015-04-30
nohaelprince@uwaterloo.ca,2015-04-30
nohaelprince@uwaterloo.ca,2015-04-30
nono@uwaterloo.ca,2015-04-30
lulu@wawa.com,2015-04-30
coco@wawa.com,2015-04-30
snow@anonymous.com,2015-04-30
snow@anonymous.com,2015-04-30
xyz@gmail.com,2015-05-31
def@gmail.com,2015-05-31
nohaelprince@gmail.com,2015-05-31
abc@hotmail.com,2015-05-31
abc@hotmail.com,2015-05-31
coco@gmail.com,2015-05-31
xyz@gmail.com,2015-05-31
def@gmail.com,2015-05-31
xyz@gmail.com,2015-05-31
def@gmail.com,2015-05-31
abc@hotmail.com,2015-05-31
coco@wawa.com,2015-05-31
nono@wawa.com,2015-05-31
lulu@wawa.com,2015-05-31
snow@anonymous.com,2015-05-31
snow@anonymous.com,2015-05-31
snow@anonymous.com,2015-05-31
snow@anonymous.com,2015-05-31
snow@anonymous.com,2015-05-31
snow@anonymous.com,2015-05-31
snow@anonymous.com,2015-05-31
snow@anonymous.com,2015-05-31
nohaelprince@uwaterloo.ca,2015-05-31
coco@wawa.com,2015-06-04
nono@wawa.com,2015-06-04
lulu@wawa.com,2015-06-04
snow@anonymous.com,2015-06-22
snow@anonymous.com,2015-06-22
snow@anonymous.com,2015-06-30
snow@anonymous.com,2015-06-30
snow@anonymous.com,2015-06-30
snow@anonymous.com,2015-06-30
snow@anonymous.com,2015-06-30
nohaelprince@uwaterloo.ca,2015-06-30
